ILTES,TOEFL,SAT,GRE,WRITING,VERBAL,UniversityName
9,191,1600,340,82.00274423,202.9355362,oxford university
9,191,1600,340,80.31964408,226.6555374,oxford university
9,191,1600,340,82.3207629,263.9642476,oxford university
9,191,1600,340,80.15836264,242.8640342,oxford university
9,191,1600,340,81.60487287,262.7173405,oxford university
9,191,1600,340,83.37011772,251.0549998,oxford university
9,191,1600,340,82.63941394,271.3248604,oxford university
9,191,1600,340,82.89408619,241.9741949,oxford university
9,191,1600,340,83.5352163,230.4462359,oxford university
9,191,1600,340,83.03322691,221.2091958,oxford university
9,191,1600,340,81.41753846,264.6148697,oxford university
9,191,1600,340,81.45061596,250.0832336,oxford university
9,191,1600,340,80.88684822,284.4364567,oxford university
9,191,1600,340,82.05687182,185.2773389,oxford university
9,191,1600,340,80.66385045,209.5869708,oxford university
9,191,1600,340,80.30025587,231.0863347,oxford university
9,191,1600,340,82.7883708,276.6552459,oxford university
9,191,1600,340,80.41817957,206.2611855,oxford university
9,191,1600,340,80.1923008,224.5550169,oxford university
9,188,1600,340,83.58760316,291.2986618,oxford university
9,190,1600,340,80.47476396,185.4974732,oxford university
9,190,1600,340,83.11713476,231.3843163,oxford university
9,190,1600,340,80.97384195,213.3560921,oxford university
8.5,190,1600,340,82.67839517,233.1075816,oxford university
8.5,190,1575,340,81.33265073,224.0581164,oxford university
8.5,190,1575,340,80.52389148,257.0038865,oxford university
8.5,190,1575,340,84.04403589,271.3586137,oxford university
8.5,190,1575,340,80.54498576,260.2634026,oxford university
8.5,190,1575,340,84.49774397,240.0810647,oxford university
8.5,190,1575,340,80.64416466,197.9791215,oxford university
8.5,190,1495,340,84.94375962,272.2017204,oxford university
8.5,190,1495,340,80.33127223,200.0882787,oxford university
8.5,190,1495,320,82.73685569,224.6757231,oxford university
8.5,190,1495,320,81.63895217,270.4417274,oxford university
8.5,190,1495,320,83.88266234,233.1321372,oxford university
8.5,190,1495,320,82.1480873,193.3473987,oxford university
8.5,190,1495,320,81.17734011,272.2999056,oxford university
8.5,190,1495,320,83.15250801,285.2493645,oxford university
8,190,1495,320,82.95221726,298.4018471,oxford university
8,188,1495,320,83.7287574,257.0343554,oxford university
8,188,1495,320,82.06719137,248.7183228,oxford university
8,188,1485,320,83.52842314,209.9001977,oxford university
8,188,1500,320,80.14509262,200.834898,oxford university
8,188,1500,320,84.81360127,298.5601175,oxford university
8,188,1500,320,82.36698992,265.5355937,oxford university
8,188,1500,320,80.52586088,183.6793207,oxford university
8,188,1500,320,84.47963372,196.9560008,oxford university
8,188,1500,320,84.59201843,233.0453455,oxford university
8,188,1500,320,80.70960551,210.8142087,oxford university
8,188,1500,320,80.41363018,253.7202781,oxford university
8,188,1500,320,83.06310136,219.9048349,oxford university
8,188,1500,320,80.3477562,208.5810155,oxford university
8,188,1500,320,82.22572988,195.0948311,oxford university
8,188,1500,320,81.89918197,227.3637009,oxford university
8,188,1500,320,83.83625819,286.5083725,oxford university
8,188,1500,320,84.79352417,283.9338466,oxford university
8,188,1500,320,83.47021081,217.3788583,oxford university
8,188,1500,320,82.45432595,267.9761948,oxford university
8,188,1500,320,82.1235421,191.9535738,oxford university
8,188,1500,320,80.2389895,277.9626192,oxford university
8,188,14,320,82.20802629,245.1511304,oxford university
8,188,1475,300,83.51827127,245.6626799,oxford university
7.5,188,1475,300,83.77345559,279.5451717,oxford university
7.5,188,1475,300,80.72886384,202.3838319,oxford university
7.5,188,1475,300,83.29114712,263.6372176,oxford university
7.5,185,1475,300,82.74835604,182.5616319,oxford university
7.5,185,1475,300,80.33502926,198.6730942,oxford university
7.5,185,1475,300,82.11124033,243.5120414,oxford university
7.5,185,1475,300,80.28597873,263.1103304,oxford university
7.5,185,1475,300,80.56887849,269.5039162,oxford university
7.5,185,1400,300,83.891805,204.8001847,oxford university
7.5,185,1400,300,82.1706881,260.8875056,oxford university
7.5,185,1400,300,82.84022551,295.6094492,oxford university
7.5,185,1400,300,83.00320459,192.3197536,oxford university
7.5,185,1400,300,84.56919326,257.4914906,oxford university
7.5,185,1400,300,81.85872947,278.0791793,oxford university
7.5,185,1400,300,81.78596776,280.4044392,oxford university
7.5,185,1400,300,81.97927117,185.9461429,oxford university
7.5,185,1400,300,81.46033732,194.5766559,oxford university
7.5,185,1400,300,83.72874389,200.9133156,oxford university
7.5,185,1400,300,80.37979919,182.9043504,oxford university
7.5,185,1400,300,82.94682591,195.3574542,oxford university
7.5,185,1400,300,81.05635517,223.3671883,oxford university
7.5,185,1400,300,84.96907151,186.7536773,oxford university
7.5,185,1400,300,80.54372813,220.1156708,oxford university
7.5,185,1400,300,83.47038318,231.7364957,oxford university
7.5,185,1400,300,81.43321641,242.3170629,oxford university
7.5,185,1400,300,81.40633547,182.6549356,oxford university
7.5,185,1400,300,81.03569343,233.7034975,oxford university
7.5,180,1400,300,84.1341879,230.2242223,oxford university
7.5,180,1400,300,81.91411159,290.6793783,oxford university
7.5,180,1400,300,83.88387074,241.2013513,oxford university
7.5,180,1400,300,80.12267476,218.9163567,oxford university
7.5,180,1400,300,83.85642678,248.2256491,oxford university
7.5,180,1400,300,82.81088865,256.9964761,oxford university
7.5,180,1400,300,83.46358271,194.2651719,oxford university
7.5,180,1400,300,82.14004101,295.9248796,oxford university
7.5,180,1400,300,83.3293191,287.5766935,oxford university
7.5,180,1400,300,84.67353597,183.6222657,oxford university
7.5,180,1400,300,83.59512273,188.413665,oxford university
7.5,180,1400,300,63.69070564,87.75953857,oxford university
8,170,1400,340,71.57476937,102.2662445,University of Cambridge
8,170,1400,340,71.59351368,66.71995467,University of Cambridge
8,170,1400,340,57.68272924,60.65171481,University of Cambridge
8,170,1400,340,62.69503871,65.43835393,University of Cambridge
8,170,1400,340,57.80840636,102.0861694,University of Cambridge
8,170,1400,340,66.50415474,105.4654703,University of Cambridge
8,170,1400,340,66.6902901,78.06639649,University of Cambridge
8,170,1400,340,62.5542482,65.27798457,University of Cambridge
8,170,1400,340,66.78627406,109.2162279,University of Cambridge
8,170,1400,340,73.4541537,94.29712821,University of Cambridge
8,170,1400,340,68.3584573,74.05474936,University of Cambridge
8,170,1400,340,58.84015925,63.87020584,University of Cambridge
8,170,1400,340,65.76816093,94.76189431,University of Cambridge
8,170,1400,340,60.2001687,72.12375573,University of Cambridge
8,170,1400,340,55.28220433,63.72358154,University of Cambridge
8,170,1400,340,70.4162444,104.1626147,University of Cambridge
8,170,1400,340,65.26185135,76.68456006,University of Cambridge
8,170,1400,340,60.1159381,65.49730729,University of Cambridge
8,170,1400,340,62.89366992,84.23613484,University of Cambridge
8,170,1500,340,73.80435276,79.74078719,University of Cambridge
8,170,1500,340,71.09445342,88.07753741,University of Cambridge
8,170,1500,340,66.65952796,80.97573281,University of Cambridge
8,170,1500,340,58.75082029,79.7532896,University of Cambridge
8,170,1500,340,67.22190688,74.51490791,University of Cambridge
8,170,1500,340,68.49835977,96.46380213,University of Cambridge
8,170,1500,340,57.48775781,102.8301942,University of Cambridge
8,170,1500,340,71.50905983,102.4852929,University of Cambridge
8,170,1500,340,63.10459626,70.43473609,University of Cambridge
8,170,1500,340,63.4711755,108.8303762,University of Cambridge
8,170,1500,340,63.1621551,65.88951188,University of Cambridge
8,170,1500,340,55.53128131,90.988051,University of Cambridge
8,170,1500,340,67.99257471,64.40866039,University of Cambridge
8,170,1500,340,61.89472002,63.03843397,University of Cambridge
8,170,1500,340,65.61418761,87.9298085,University of Cambridge
8,170,1500,340,74.089114,107.4931917,University of Cambridge
8,170,1500,340,62.35750641,60.95197486,University of Cambridge
8,170,1500,340,59.64024162,109.7515385,University of Cambridge
8,170,1500,340,74.82913698,91.76337172,University of Cambridge
8,170,1500,340,74.52600826,94.26249353,University of Cambridge
8,170,1500,340,73.13112261,71.07562236,University of Cambridge
8,170,1500,340,70.04556743,76.72860067,University of Cambridge
8,170,1500,340,60.27766379,69.21803098,University of Cambridge
8,170,1500,340,57.21025565,101.7004306,University of Cambridge
8,170,1500,340,72.85462807,106.6213157,University of Cambridge
8,170,1500,340,69.00128641,66.29390357,University of Cambridge
8,170,1500,340,68.74248334,91.26056654,University of Cambridge
8,170,1500,340,56.35606753,109.024141,University of Cambridge
8,170,1500,340,61.89082199,99.57981207,University of Cambridge
8,170,1500,340,65.47050802,71.3195307,University of Cambridge
8.5,170,1500,340,65.34583901,78.34604471,University of Cambridge
8.5,170,1500,340,56.73426469,88.45361858,University of Cambridge
8.5,170,1500,340,63.91281869,62.50351892,University of Cambridge
8.5,170,1500,340,64.23580251,76.41312437,University of Cambridge
8.5,170,1300,340,61.74427165,107.3198135,University of Cambridge
8.5,170,1300,340,61.24500053,100.7689246,University of Cambridge
8.5,170,1300,340,61.91044947,107.2681929,University of Cambridge
8.5,170,1300,340,56.50768935,101.5952794,University of Cambridge
8.5,170,1300,340,69.02298571,80.72515943,University of Cambridge
8.5,170,1300,340,65.35549924,83.73280082,University of Cambridge
8.5,170,1300,340,59.24537979,89.9622014,University of Cambridge
8.5,170,1300,340,69.0276233,88.10234397,University of Cambridge
8.5,170,1300,340,61.32026065,64.77791424,University of Cambridge
8.5,170,1300,340,72.89187265,73.33636055,University of Cambridge
8.5,170,1300,340,69.63481219,83.21030571,University of Cambridge
8.5,170,1300,340,59.4375337,103.651438,University of Cambridge
8.5,170,1300,340,68.034493,84.22969177,University of Cambridge
8.5,170,1300,340,73.58868502,96.59195302,University of Cambridge
8.5,170,1300,340,59.52193158,67.96704792,University of Cambridge
8.5,170,1300,340,61.33450447,83.20711308,University of Cambridge
8.5,170,1300,340,68.30578978,87.85092352,University of Cambridge
8.5,170,1300,340,60.47470519,95.71388473,University of Cambridge
8.5,170,1300,340,59.21235483,67.61013737,University of Cambridge
8.5,170,1300,340,73.62548442,97.59081274,University of Cambridge
8.5,170,1300,340,55.64709899,64.23845455,University of Cambridge
8.5,170,1300,340,65.7420046,75.82270467,University of Cambridge
8.5,170,1300,340,65.77472881,88.17251033,University of Cambridge
8.5,170,1300,340,60.61494304,104.2321615,University of Cambridge
8.5,170,1300,340,72.33125523,67.10225139,University of Cambridge
8.5,170,1300,340,71.59722446,67.72777298,University of Cambridge
8.5,170,1300,340,69.36385721,103.2234212,University of Cambridge
8.5,170,1300,340,66.20569924,107.2361366,University of Cambridge
8.5,170,1300,340,61.55327249,75.03247667,University of Cambridge
8.5,170,1300,340,55.97732754,78.16077693,University of Cambridge
7.5,170,1300,340,59.24580604,105.0083144,University of Cambridge
7.5,170,1300,340,65.92195844,62.49190812,University of Cambridge
7.5,150,1300,340,72.52054555,107.9124111,University of Cambridge
7.5,150,1300,340,63.31801994,74.52082026,University of Cambridge
7.5,150,1300,340,67.816568,62.91359494,University of Cambridge
7.5,150,1300,320,71.516474,69.93293255,University of Cambridge
7.5,150,1300,320,63.73849998,108.5054416,University of Cambridge
7.5,150,1300,320,72.61024172,78.96159541,University of Cambridge
7.5,150,1300,320,71.96246617,79.84925393,University of Cambridge
7.5,150,1300,320,61.37879671,93.62039175,University of Cambridge
7.5,150,1300,300,59.37147589,85.75692395,University of Cambridge
7.5,150,1300,300,72.80086137,82.34162918,University of Cambridge
7.5,150,1295,300,63.24648023,108.7603001,University of Cambridge
7.5,150,1295,300,62.49878458,70.23401597,University of Cambridge
7.5,150,1295,300,59.66263104,65.50861389,University of Cambridge
8,150,1295,300,70.74739256,98.73771338,University of Cambridge
8,150,1295,300,16.98861173,88.55123143,University of Cambridge
8,150,1295,300,17.13159126,79.92698081,Imperial College London
8,150,1295,300,15.40589717,68.54932919,Imperial College London
8,150,1295,300,15.65809214,88.51048983,Imperial College London
8,150,1295,300,19.56381041,79.26357665,Imperial College London
8,150,1295,300,15.40312102,92.68373702,Imperial College London
8,150,1295,300,16.60820843,74.6631118,Imperial College London
8,150,1295,300,18.74926979,82.61734721,Imperial College London
8,150,1295,300,18.90426935,81.84997529,Imperial College London
8,150,1295,300,18.30968112,81.98568791,Imperial College London
8,150,1295,300,19.33470387,93.55280105,Imperial College London
8,150,1295,300,15.22538951,74.58565097,Imperial College London
8,150,1295,300,14.69765308,78.96514709,Imperial College London
8,150,1295,300,19.5161216,80.7108745,Imperial College London
8,150,1295,300,14.71070537,70.18185181,Imperial College London
8,150,1295,300,19.18197264,71.58010169,Imperial College London
8,150,1295,300,19.8601304,73.50734019,Imperial College London
8,150,1295,300,16.39535215,82.52339655,Imperial College London
8,150,1295,300,15.7559405,66.96980581,Imperial College London
8,150,1295,300,14.32313811,90.46228334,Imperial College London
8,150,1295,300,16.14565756,71.31007253,Imperial College London
